x_value,total_1,total_2
0,1000,1000
1,1007,998
2,1009,1004
3,1015,1008
4,1023,1009
5,1031,1010
6,1034,1010
7,1035,1010
8,1040,1011
9,1041,1013
10,1049,1013
11,1055,1013
12,1059,1014
13,1054,1010
14,1048,1012
15,1056,1011
16,1052,1010
17,1060,1014
18,1061,1010
19,1064,1013
20,1070,1010
21,1076,1012
22,1076,1015
23,1072,1012
24,1074,1015
25,1079,1016
26,1081,1020
27,1080,1023
28,1082,1024
29,1089,1019
30,1091,1015
31,1090,1011
32,1086,1016
33,1092,1015
34,1099,1010
35,1098,1005
36,1100,1007
37,1097,1013
38,1091,1015
39,1097,1015
40,1093,1019
41,1090,1018
42,1098,1023
43,1095,1025
44,1092,1027
45,1094,1031
46,1102,1026
47,1097,1029
48,1096,1035
49,1090,1034
50,1091,1035
51,1092,1030
52,1093,1031
53,1087,1035
54,1094,1036
55,1095,1033
56,1102,1037
57,1105,1035
58,1107,1035
59,1106,1034
60,1102,1038
61,1099,1034
62,1106,1031
63,1112,1027
64,1114,1028
65,1121,1023
66,1115,1024
67,1114,1019
68,1120,1016
69,1120,1012
70,1126,1018
71,1130,1021
72,1126,1019
73,1130,1025
74,1127,1021
75,1123,1023
76,1120,1029
77,1117,1027
78,1116,1022
79,1116,1020
80,1111,1015
81,1119,1013
82,1126,1010
83,1134,1014
84,1132,1010
85,1133,1013
86,1137,1013
87,1139,1016
88,1136,1020
89,1142,1024
90,1141,1022
91,1148,1024
92,1150,1027
93,1156,1024
94,1159,1023
95,1153,1022
96,1155,1026
97,1157,1027
98,1165,1032
99,1173,1035
100,1180,1030
101,1174,1025
102,1171,1030
103,1176,1032
104,1172,1035
105,1176,1041
106,1171,1037
107,1166,1040
108,1172,1045
109,1172,1042
110,1167,1046
111,1165,1047
112,1165,1051
113,1169,1054
114,1168,1054
115,1162,1059
116,1160,1059
117,1155,1058
118,1161,1060
119,1157,1060
120,1161,1065
121,1168,1070
122,1167,1074
123,1166,1080
124,1172,1086
125,1170,1092
126,1168,1097
127,1164,1102
128,1161,1099
129,1162,1100
130,1156,1097
131,1158,1092
132,1152,1090
133,1154,1094
134,1162,1093
135,1158,1092
136,1157,1087
137,1152,1086
138,1159,1081
139,1157,1084
140,1161,1086
141,1168,1086
142,1164,1089
143,1167,1085
144,1174,1091
145,1169,1090
146,1175,1090
147,1179,1087
148,1184,1082
149,1187,1086
150,1189,1085
151,1193,1085
152,1194,1080
153,1194,1079
154,1195,1074
155,1195,1077
156,1198,1081
157,1206,1083
158,1202,1087
159,1197,1089
160,1194,1095
161,1194,1094
162,1189,1095
163,1190,1095
164,1198,1099
165,1204,1096
166,1198,1100
167,1195,1097
168,1199,1095
169,1199,1096
170,1195,1102
171,1192,1107
172,1188,1103
173,1188,1108
174,1183,1104
175,1185,1108
176,1183,1113
177,1184,1108
178,1180,1106
179,1180,1108
180,1187,1113
181,1185,1117
182,1182,1118
183,1181,1123
184,1176,1125
185,1170,1120
186,1171,1117
187,1169,1116
188,1170,1122
189,1164,1126
190,1158,1125
191,1154,1131
192,1162,1131
193,1165,1137
194,1173,1142
195,1169,1148
196,1166,1153
197,1167,1150
198,1166,1151
199,1160,1146
200,1168,1143
201,1167,1147
202,1167,1149
203,1173,1145
204,1167,1142
205,1161,1138
206,1160,1138
207,1157,1138
208,1155,1138
209,1156,1141
210,1155,1136
211,1153,1136
212,1149,1131
213,1148,1136
214,1142,1133
215,1150,1132
216,1152,1131
217,1152,1134
218,1151,1137
219,1150,1134
220,1144,1129
221,1140,1131
222,1145,1129
223,1151,1125
224,1156,1128
225,1158,1127
226,1156,1130
